Operacia;Cas;;Pocet prvkov
Spristupni na zaklade kluca;400;ns;20
Vloz na zaklade kluca;700;ns;20
Odstran na zaklade kluca;600;ns;21
Spristupni na zaklade kluca;500;ns;20
Odstran na zaklade kluca;2200;ns;20
Odstran na zaklade kluca;600;ns;19
Odstran na zaklade kluca;1100;ns;18
Odstran na zaklade kluca;2500;ns;17
Odstran na zaklade kluca;900;ns;16
Vloz na zaklade kluca;700;ns;15
Vloz na zaklade kluca;600;ns;16
Vloz na zaklade kluca;700;ns;17
Odstran na zaklade kluca;900;ns;18
Odstran na zaklade kluca;600;ns;17
Vloz na zaklade kluca;800;ns;16
Vloz na zaklade kluca;700;ns;17
Odstran na zaklade kluca;2600;ns;18
Vloz na zaklade kluca;700;ns;17
Vloz na zaklade kluca;600;ns;18
Odstran na zaklade kluca;600;ns;19
Spristupni na zaklade kluca;600;ns;18
Odstran na zaklade kluca;700;ns;18
Odstran na zaklade kluca;900;ns;17
Vloz na zaklade kluca;700;ns;16
Vloz na zaklade kluca;500;ns;17
Vloz na zaklade kluca;600;ns;18
Vloz na zaklade kluca;600;ns;19
Odstran na zaklade kluca;700;ns;20
Vloz na zaklade kluca;500;ns;19
Vloz na zaklade kluca;2000;ns;20
Odstran na zaklade kluca;700;ns;21
Odstran na zaklade kluca;600;ns;20
Odstran na zaklade kluca;500;ns;19
Odstran na zaklade kluca;500;ns;18
Odstran na zaklade kluca;1000;ns;17
Odstran na zaklade kluca;700;ns;16
Odstran na zaklade kluca;1100;ns;15
Vloz na zaklade kluca;700;ns;14
Odstran na zaklade kluca;700;ns;15
Spristupni na zaklade kluca;500;ns;14
Vloz na zaklade kluca;700;ns;14
Odstran na zaklade kluca;500;ns;15
Odstran na zaklade kluca;500;ns;14
Odstran na zaklade kluca;900;ns;13
Vloz na zaklade kluca;500;ns;12
Odstran na zaklade kluca;600;ns;13
Vloz na zaklade kluca;700;ns;12
Vloz na zaklade kluca;800;ns;13
Vloz na zaklade kluca;600;ns;14
Vloz na zaklade kluca;600;ns;15
Vloz na zaklade kluca;600;ns;16
Vloz na zaklade kluca;600;ns;17
Odstran na zaklade kluca;700;ns;18
Spristupni na zaklade kluca;500;ns;17
Odstran na zaklade kluca;600;ns;17
Vloz na zaklade kluca;600;ns;16
Odstran na zaklade kluca;600;ns;17
Vloz na zaklade kluca;600;ns;16
Spristupni na zaklade kluca;500;ns;17
Vloz na zaklade kluca;600;ns;17
Vloz na zaklade kluca;700;ns;18
Vloz na zaklade kluca;600;ns;19
Odstran na zaklade kluca;600;ns;20
Odstran na zaklade kluca;600;ns;19
Odstran na zaklade kluca;600;ns;18
Odstran na zaklade kluca;700;ns;17
Spristupni na zaklade kluca;500;ns;16
Vloz na zaklade kluca;600;ns;16
Vloz na zaklade kluca;700;ns;17
Odstran na zaklade kluca;1000;ns;18
Odstran na zaklade kluca;600;ns;17
Vloz na zaklade kluca;800;ns;16
Odstran na zaklade kluca;1000;ns;17
Odstran na zaklade kluca;700;ns;16
Spristupni na zaklade kluca;400;ns;15
Vloz na zaklade kluca;700;ns;15
Vloz na zaklade kluca;800;ns;16
Vloz na zaklade kluca;700;ns;17
Odstran na zaklade kluca;1100;ns;18
Vloz na zaklade kluca;800;ns;17
Vloz na zaklade kluca;700;ns;18
Odstran na zaklade kluca;600;ns;19
Vloz na zaklade kluca;600;ns;18
Odstran na zaklade kluca;700;ns;19
Vloz na zaklade kluca;600;ns;18
Vloz na zaklade kluca;1100;ns;19
Odstran na zaklade kluca;1200;ns;20
