Operacia;Cas;;Pocet prvkov
Spristupni na zaklade kluca;299400;ns;40
Spristupni na zaklade kluca;299500;ns;40
Spristupni na zaklade kluca;300100;ns;40
Vloz na zaklade kluca;313800;ns;40
Vloz na zaklade kluca;351400;ns;41
Spristupni na zaklade kluca;316400;ns;42
Spristupni na zaklade kluca;316600;ns;42
Spristupni na zaklade kluca;318300;ns;42
Vloz na zaklade kluca;327300;ns;42
Spristupni na zaklade kluca;322700;ns;43
Spristupni na zaklade kluca;323000;ns;43
Spristupni na zaklade kluca;327200;ns;43
Spristupni na zaklade kluca;321700;ns;43
Spristupni na zaklade kluca;323200;ns;43
Spristupni na zaklade kluca;413500;ns;43
Spristupni na zaklade kluca;321900;ns;43
Vloz na zaklade kluca;334500;ns;43
Spristupni na zaklade kluca;330100;ns;44
Spristupni na zaklade kluca;378300;ns;44
Vloz na zaklade kluca;410100;ns;44
Spristupni na zaklade kluca;360700;ns;45
Spristupni na zaklade kluca;340800;ns;45
Spristupni na zaklade kluca;345800;ns;45
Odstran na zaklade kluca;364900;ns;45
Odstran na zaklade kluca;386400;ns;44
Vloz na zaklade kluca;334200;ns;43
Spristupni na zaklade kluca;335300;ns;44
Vloz na zaklade kluca;524600;ns;44
Spristupni na zaklade kluca;336800;ns;45
Spristupni na zaklade kluca;337700;ns;45
Spristupni na zaklade kluca;339300;ns;45
Spristupni na zaklade kluca;339200;ns;45
Spristupni na zaklade kluca;338300;ns;45
Vloz na zaklade kluca;375400;ns;45
Spristupni na zaklade kluca;347500;ns;46
Spristupni na zaklade kluca;602300;ns;46
Vloz na zaklade kluca;359300;ns;46
Spristupni na zaklade kluca;353600;ns;47
Vloz na zaklade kluca;364700;ns;47
Vloz na zaklade kluca;372100;ns;48
Vloz na zaklade kluca;715500;ns;49
Vloz na zaklade kluca;387600;ns;50
Vloz na zaklade kluca;394100;ns;51
Spristupni na zaklade kluca;409200;ns;52
Vloz na zaklade kluca;405000;ns;52
Vloz na zaklade kluca;406800;ns;53
Spristupni na zaklade kluca;469400;ns;54
Vloz na zaklade kluca;423400;ns;54
Spristupni na zaklade kluca;416600;ns;55
Odstran na zaklade kluca;444100;ns;55
Vloz na zaklade kluca;553100;ns;54
Spristupni na zaklade kluca;430300;ns;55
Vloz na zaklade kluca;430300;ns;55
Spristupni na zaklade kluca;422100;ns;56
Spristupni na zaklade kluca;430900;ns;56
Spristupni na zaklade kluca;421900;ns;56
Spristupni na zaklade kluca;421400;ns;56
Spristupni na zaklade kluca;595000;ns;56
Spristupni na zaklade kluca;823200;ns;56
Spristupni na zaklade kluca;423100;ns;56
Spristupni na zaklade kluca;548100;ns;56
Spristupni na zaklade kluca;424400;ns;56
Spristupni na zaklade kluca;425200;ns;56
Spristupni na zaklade kluca;422800;ns;56
Spristupni na zaklade kluca;422600;ns;56
Spristupni na zaklade kluca;426100;ns;56
Odstran na zaklade kluca;451000;ns;56
Spristupni na zaklade kluca;415700;ns;55
Spristupni na zaklade kluca;414500;ns;55
Vloz na zaklade kluca;425000;ns;55
Spristupni na zaklade kluca;426200;ns;56
Vloz na zaklade kluca;852900;ns;56
Spristupni na zaklade kluca;818200;ns;57
Vloz na zaklade kluca;992200;ns;57
Spristupni na zaklade kluca;799800;ns;58
Spristupni na zaklade kluca;794300;ns;58
Spristupni na zaklade kluca;843300;ns;58
Vloz na zaklade kluca;455000;ns;58
Vloz na zaklade kluca;906600;ns;59
Vloz na zaklade kluca;468000;ns;60
Vloz na zaklade kluca;471400;ns;61
Spristupni na zaklade kluca;468200;ns;62
Spristupni na zaklade kluca;517000;ns;62
Spristupni na zaklade kluca;470500;ns;62
Odstran na zaklade kluca;497000;ns;62
Vloz na zaklade kluca;475000;ns;61
Spristupni na zaklade kluca;467600;ns;62
Spristupni na zaklade kluca;550300;ns;62
Spristupni na zaklade kluca;467300;ns;62
Spristupni na zaklade kluca;471000;ns;62
Vloz na zaklade kluca;480200;ns;62
Spristupni na zaklade kluca;485100;ns;63
Odstran na zaklade kluca;503300;ns;63
Spristupni na zaklade kluca;471300;ns;62
Spristupni na zaklade kluca;688400;ns;62
Spristupni na zaklade kluca;474900;ns;62
Spristupni na zaklade kluca;472900;ns;62
Spristupni na zaklade kluca;484500;ns;62
Spristupni na zaklade kluca;568200;ns;62
Spristupni na zaklade kluca;486900;ns;62
Vloz na zaklade kluca;481800;ns;62
Spristupni na zaklade kluca;509200;ns;63
Vloz na zaklade kluca;498000;ns;63
Spristupni na zaklade kluca;485600;ns;64
Spristupni na zaklade kluca;552600;ns;64
Vloz na zaklade kluca;808900;ns;64
Spristupni na zaklade kluca;549000;ns;65
Vloz na zaklade kluca;507400;ns;65
Spristupni na zaklade kluca;500500;ns;66
Spristupni na zaklade kluca;497900;ns;66
Spristupni na zaklade kluca;498700;ns;66
Vloz na zaklade kluca;509300;ns;66
Spristupni na zaklade kluca;570200;ns;67
Vloz na zaklade kluca;524300;ns;67
Spristupni na zaklade kluca;523700;ns;68
Odstran na zaklade kluca;540900;ns;68
Vloz na zaklade kluca;561400;ns;67
Odstran na zaklade kluca;548500;ns;68
Spristupni na zaklade kluca;509400;ns;67
Odstran na zaklade kluca;572100;ns;67
Vloz na zaklade kluca;531600;ns;66
Spristupni na zaklade kluca;510800;ns;67
Spristupni na zaklade kluca;507100;ns;67
Spristupni na zaklade kluca;507500;ns;67
Vloz na zaklade kluca;518000;ns;67
Spristupni na zaklade kluca;515300;ns;68
Vloz na zaklade kluca;535400;ns;68
Vloz na zaklade kluca;1256800;ns;69
Vloz na zaklade kluca;542200;ns;70
Odstran na zaklade kluca;562600;ns;71
Spristupni na zaklade kluca;1055600;ns;70
Vloz na zaklade kluca;757600;ns;70
Vloz na zaklade kluca;564400;ns;71
Vloz na zaklade kluca;570900;ns;72
Odstran na zaklade kluca;618100;ns;73
Spristupni na zaklade kluca;561700;ns;72
Vloz na zaklade kluca;556000;ns;72
Spristupni na zaklade kluca;589300;ns;73
Spristupni na zaklade kluca;547600;ns;73
Vloz na zaklade kluca;559900;ns;73
Vloz na zaklade kluca;570700;ns;74
Spristupni na zaklade kluca;562900;ns;75
Spristupni na zaklade kluca;571800;ns;75
Vloz na zaklade kluca;577100;ns;75
Spristupni na zaklade kluca;653500;ns;76
Spristupni na zaklade kluca;647500;ns;76
Spristupni na zaklade kluca;629700;ns;76
Spristupni na zaklade kluca;593700;ns;76
Odstran na zaklade kluca;595300;ns;76
Odstran na zaklade kluca;592300;ns;75
Vloz na zaklade kluca;844500;ns;74
Spristupni na zaklade kluca;800700;ns;75
Vloz na zaklade kluca;577700;ns;75
Spristupni na zaklade kluca;918500;ns;76
Vloz na zaklade kluca;991600;ns;76
Vloz na zaklade kluca;666700;ns;77
Vloz na zaklade kluca;597200;ns;78
Vloz na zaklade kluca;606200;ns;79
Vloz na zaklade kluca;664500;ns;80
Spristupni na zaklade kluca;618800;ns;81
Spristupni na zaklade kluca;928000;ns;81
Vloz na zaklade kluca;621000;ns;81
Spristupni na zaklade kluca;619800;ns;82
Spristupni na zaklade kluca;1010800;ns;82
Spristupni na zaklade kluca;617000;ns;82
Odstran na zaklade kluca;699600;ns;82
Spristupni na zaklade kluca;653800;ns;81
Vloz na zaklade kluca;688100;ns;81
Spristupni na zaklade kluca;617500;ns;82
Spristupni na zaklade kluca;677400;ns;82
Spristupni na zaklade kluca;645300;ns;82
Vloz na zaklade kluca;1138800;ns;82
Spristupni na zaklade kluca;959900;ns;83
Spristupni na zaklade kluca;674700;ns;83
Spristupni na zaklade kluca;626100;ns;83
Spristupni na zaklade kluca;744700;ns;83
Spristupni na zaklade kluca;642300;ns;83
Spristupni na zaklade kluca;829800;ns;83
Spristupni na zaklade kluca;624600;ns;83
Vloz na zaklade kluca;649400;ns;83
Spristupni na zaklade kluca;632200;ns;84
Vloz na zaklade kluca;653300;ns;84
Vloz na zaklade kluca;652500;ns;85
Spristupni na zaklade kluca;652100;ns;86
Vloz na zaklade kluca;660700;ns;86
Spristupni na zaklade kluca;1013200;ns;87
Spristupni na zaklade kluca;847600;ns;87
Spristupni na zaklade kluca;1338100;ns;87
Spristupni na zaklade kluca;917300;ns;87
Vloz na zaklade kluca;670700;ns;87
Vloz na zaklade kluca;823100;ns;88
Vloz na zaklade kluca;683700;ns;89
Vloz na zaklade kluca;1313800;ns;90
Spristupni na zaklade kluca;1416500;ns;91
Spristupni na zaklade kluca;1342700;ns;91
Spristupni na zaklade kluca;1424800;ns;91
Vloz na zaklade kluca;1344300;ns;91
Spristupni na zaklade kluca;1201200;ns;92
Spristupni na zaklade kluca;1366000;ns;92
Spristupni na zaklade kluca;695800;ns;92
Spristupni na zaklade kluca;707800;ns;92
Vloz na zaklade kluca;714500;ns;92
Vloz na zaklade kluca;803800;ns;93
Vloz na zaklade kluca;771800;ns;94
Odstran na zaklade kluca;1044800;ns;95
Vloz na zaklade kluca;821100;ns;94
Spristupni na zaklade kluca;1742300;ns;95
Vloz na zaklade kluca;1271700;ns;95
Vloz na zaklade kluca;889000;ns;96
Spristupni na zaklade kluca;1180300;ns;97
Odstran na zaklade kluca;762900;ns;97
Vloz na zaklade kluca;790700;ns;96
Spristupni na zaklade kluca;734500;ns;97
Spristupni na zaklade kluca;826400;ns;97
Vloz na zaklade kluca;808400;ns;97
Odstran na zaklade kluca;796000;ns;98
Spristupni na zaklade kluca;1002100;ns;97
Vloz na zaklade kluca;890400;ns;97
Vloz na zaklade kluca;774000;ns;98
Spristupni na zaklade kluca;1513700;ns;99
Spristupni na zaklade kluca;1455600;ns;99
Spristupni na zaklade kluca;1216900;ns;99
Spristupni na zaklade kluca;1320400;ns;99
Spristupni na zaklade kluca;1358600;ns;99
Spristupni na zaklade kluca;929700;ns;99
Spristupni na zaklade kluca;790600;ns;99
Vloz na zaklade kluca;787800;ns;99
Spristupni na zaklade kluca;800000;ns;100
Spristupni na zaklade kluca;973300;ns;100
Vloz na zaklade kluca;886700;ns;100
Spristupni na zaklade kluca;767400;ns;101
Odstran na zaklade kluca;1145500;ns;101
Spristupni na zaklade kluca;755500;ns;100
Odstran na zaklade kluca;1066200;ns;100
Spristupni na zaklade kluca;772500;ns;99
Vloz na zaklade kluca;786500;ns;99
Vloz na zaklade kluca;800500;ns;100
