Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;1400;ns;26
Vloz na zaklade kluca;1400;ns;27
Vloz na zaklade kluca;1400;ns;28
Spristupni na zaklade kluca;1100;ns;29
Vloz na zaklade kluca;1400;ns;29
Vloz na zaklade kluca;1500;ns;30
Odstran na zaklade kluca;3800;ns;31
Spristupni na zaklade kluca;1100;ns;30
Spristupni na zaklade kluca;1100;ns;30
Odstran na zaklade kluca;3500;ns;30
Odstran na zaklade kluca;29800;ns;29
Vloz na zaklade kluca;1600;ns;28
Odstran na zaklade kluca;3500;ns;29
Vloz na zaklade kluca;1400;ns;28
Odstran na zaklade kluca;3300;ns;29
Vloz na zaklade kluca;1400;ns;28
Odstran na zaklade kluca;3300;ns;29
Odstran na zaklade kluca;3300;ns;28
Odstran na zaklade kluca;3200;ns;27
Spristupni na zaklade kluca;1100;ns;26
Odstran na zaklade kluca;3200;ns;26
Odstran na zaklade kluca;3100;ns;25
Vloz na zaklade kluca;1300;ns;24
Vloz na zaklade kluca;1400;ns;25
Vloz na zaklade kluca;1300;ns;26
Vloz na zaklade kluca;1400;ns;27
Vloz na zaklade kluca;1400;ns;28
Vloz na zaklade kluca;1400;ns;29
Odstran na zaklade kluca;3400;ns;30
Spristupni na zaklade kluca;1100;ns;29
Spristupni na zaklade kluca;1100;ns;29
Odstran na zaklade kluca;3400;ns;29
Odstran na zaklade kluca;3200;ns;28
Odstran na zaklade kluca;3300;ns;27
Vloz na zaklade kluca;1400;ns;26
Vloz na zaklade kluca;1400;ns;27
Odstran na zaklade kluca;3300;ns;28
Spristupni na zaklade kluca;1100;ns;27
Vloz na zaklade kluca;1400;ns;27
Vloz na zaklade kluca;1400;ns;28
Odstran na zaklade kluca;3400;ns;29
Vloz na zaklade kluca;1300;ns;28
Vloz na zaklade kluca;1400;ns;29
Spristupni na zaklade kluca;1100;ns;30
Vloz na zaklade kluca;1400;ns;30
Vloz na zaklade kluca;1600;ns;31
Odstran na zaklade kluca;3700;ns;32
Vloz na zaklade kluca;1600;ns;31
Vloz na zaklade kluca;4900;ns;32
Odstran na zaklade kluca;3400;ns;33
Vloz na zaklade kluca;1400;ns;32
Vloz na zaklade kluca;1400;ns;33
